flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S,filenames
2501021016,60,False,2025-01-02T10:16:32.442,245.01387131391758,70292,C4.8,4.845673629461089e-06,C1,C3,C2,-5.94140870719148,-5.600483234408161,-5.777303570799821,,,2025-01-02T10:16:04.442,2025-01-02T10:17:04.442,3711,303.0,271,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T095632-20250102T104233_V02_2501025672-57463.fits
2501021034,1588,False,2025-01-02T10:34:32.444,240.05499160310728,70258,C4.9,4.905626155959908e-06,C1,C3,C2,-5.924802385961811,-5.581211079318416,-5.7593643326401125,,,2025-01-02T10:13:04.441,2025-01-02T10:39:32.444,3967,303.0,271,41.0,75,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T095632-20250102T104233_V02_2501025672-57463.fits
2501021052,68,False,2025-01-02T10:52:48.446,240.05499160310728,70260,C3.8,3.77769538317807e-06,B6,C1,B8,-6.248217914341475,-5.96139122992924,-6.111162172135358,,,2025-01-02T10:52:20.446,2025-01-02T10:53:28.446,1087,303.0,115,41.0,53,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T105219-20250102T105328_V02_2501025260-57324.fits
2501021147,676,False,2025-01-02T11:47:04.452,220.96395410469924,70294,C3.6,3.581359578674892e-06,B6,C1,B8,-6.219309428696592,-5.926917168278486,-6.079470898487539,,,2025-01-02T11:41:48.451,2025-01-02T11:53:04.452,1215,303.0,107,41.0,67,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T114156-20250102T115310_V02_2501028057-57327.fits
2501021218,324,False,2025-01-02T12:18:12.455,247.5605231477508,70299,C6.6,6.622310138482135e-06,C3,C8,C5,-5.50751664391068,-5.10304358687222,-5.31163771539145,,,2025-01-02T12:15:24.455,2025-01-02T12:20:48.456,19455,303.0,1599,41.0,135,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T120608-20250102T123827_V02_2501020339-57464.fits
2501021226,256,False,2025-01-02T12:26:40.456,247.5605231477508,70300,C5.3,5.296344625094207e-06,C1,C3,C2,-5.848532352440771,-5.492973685917044,-5.677110619178907,,,2025-01-02T12:25:32.456,2025-01-02T12:29:48.456,5375,303.0,335,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T120608-20250102T123827_V02_2501020339-57464.fits
2501021249,340,False,2025-01-02T12:49:36.459,247.5605231477508,70302,C4.7,4.674182946473593e-06,C1,C3,C2,-5.92483181543582,-5.5812452133856905,-5.759396114410756,,,2025-01-02T12:46:48.458,2025-01-02T12:52:28.459,3967,303.0,303,41.0,135,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T124450-20250102T125429_V02_2501028827-57329.fits
2501021314,788,False,2025-01-02T13:14:52.462,247.5605231477508,70304,C3.8,3.7984480059094494e-06,B6,C1,B9,-6.1937175928125106,-5.896493378661116,-6.051463085736812,,,2025-01-02T13:11:48.461,2025-01-02T13:24:56.463,1343,303.0,135,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T131202-20250102T132511_V02_2501027174-57331.fits
2501021336,608,False,2025-01-02T13:36:12.464,247.5605231477508,70305,C3.7,3.6792162063647993e-06,B6,C1,B9,-6.193721639810569,-5.896498182975327,-6.051467511392948,,,2025-01-02T13:34:28.464,2025-01-02T13:44:36.465,1343,303.0,199,41.0,91,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T133445-20250102T134442_V02_2501029216-57332.fits
2501021459,1020,False,2025-01-02T14:59:28.473,247.5605231477508,70308,C4.1,4.146894752921071e-06,B7,C1,B9,-6.170723410199131,-5.869229824574737,-6.0263342173869345,,,2025-01-02T14:50:40.472,2025-01-02T15:07:40.474,1471,303.0,135,41.0,67,49.0,671,607.0,367,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250102T145126-20250102T160159_V02_2501021331-57466.fits
